Dataset,Model,Fusion,_all_pre,_leisure_pre,_working_pre,_all_rec,_leisure_rec,_working_rec,_all_ndcg,_leisure_ndcg,_working_ndcg,Delta,Imp
Gowalla,GeoSoCa,mul,0.0274,0.0544,0.0159,0.0507,0.0421,0.0595,0.0313,0.0596,0.0187,0.0409,0
Gowalla,GeoSoCa,sum,0.0282,0.0526,0.0171,0.0557,0.0402,0.0649,0.0312,0.056,0.0193,0.0367,0.1026894866
Gowalla,GeoSoCa,w19,0.0272,0.0499,0.0168,0.0538,0.038,0.0644,0.0299,0.053,0.0188,0.0342,0.1638141809
Gowalla,LORE,mul,0.0349,0.0768,0.0177,0.059,0.0537,0.065,0.0413,0.0855,0.0226,0.0629,0
Gowalla,LORE,sum,0.0292,0.0536,0.0178,0.057,0.04,0.0675,0.0321,0.057,0.0195,0.0375,0.4038155803
Gowalla,LORE,w414,0.0297,0.0541,0.0181,0.0579,0.0405,0.0686,0.0329,0.0575,0.0203,0.0372,0.4085850556
Yelp,GeoSoCa,mul,0.0151,0.0409,0.0043,0.0341,0.0387,0.0287,0.0169,0.0458,0.0048,0.041,0
Yelp,GeoSoCa,sum,0.015,0.0361,0.0068,0.04,0.0333,0.0446,0.016,0.039,0.007,0.032,0.2195121951
Yelp,GeoSoCa,w414,0.014,0.0321,0.0067,0.0385,0.0302,0.0444,0.0148,0.0343,0.007,0.0273,0.3341463415
Yelp,LORE,mul,0.0157,0.0443,0.0035,0.0335,0.0414,0.0232,0.0174,0.0468,0.0043,0.0425,0
Yelp,LORE,sum,0.0145,0.0334,0.0065,0.0388,0.0316,0.0428,0.0155,0.036,0.0066,0.0294,0.3082352941
Yelp,LORE,w171,0.0139,0.0317,0.0063,0.0377,0.0296,0.0416,0.0147,0.0339,0.0064,0.0275,0.3529411765